Name,Sector,Address,City,State,Zip,Waste_Tons,Latitude,Longitude,Source_File
Subway Sandwiches,Limited-Service Restaurants,45 S Main St Ste A,Dayton,OH,45402.0,7.4559045,39.758298,-84.19182,RestaurantsAndFoodServices.xlsx
Subway,Limited-Service Restaurants,125 N Ludlow St,Dayton,OH,45402.0,0.8181855,39.761524,-84.194484,RestaurantsAndFoodServices.xlsx
Subway,Limited-Service Restaurants,119 N James H McGee Blvd,Dayton,OH,45402.0,7.4559045,39.755373,-84.225803,RestaurantsAndFoodServices.xlsx
Sharks Fish and Chicken,Limited-Service Restaurants,1616 W 3rd St,Dayton,OH,45402.0,2.4125145,39.754103,-84.222637,RestaurantsAndFoodServices.xlsx
"Professional Sports Catering, LLC",Limited-Service Restaurants,220 N Patterson Blvd,Dayton,OH,45402.0,13.5,39.764435,-84.186294,RestaurantsAndFoodServices.xlsx
Market Metrics LLC,Supermarkets and Other Grocery (except Convenience) Stores,130 W 2nd St Ste 1900,Dayton,OH,45402.0,0.954055,39.76031,-84.195102,FoodWholesaleAndRetail.xlsx
La Gota Coffee LLC,Limited-Service Restaurants,804 E Monument Ave,Dayton,OH,45402.0,7.5,39.765578,-84.1793,RestaurantsAndFoodServices.xlsx
Food In A Flash,Supermarkets and Other Grocery (except Convenience) Stores,106 Brown St,Dayton,OH,45402.0,6.96,39.756039,-84.185308,FoodWholesaleAndRetail.xlsx
Crafted & Cured,Supermarkets and Other Grocery (except Convenience) Stores,131 E 3rd St APT 602,Dayton,OH,45402.0,16.24,39.760221,-84.188899,FoodWholesaleAndRetail.xlsx
"Gilligan Company, LLC",Baked Goods Stores,5901 Far Hills Ave,Dayton,OH,45429.0,13.92,39.660266,-84.158788,FoodWholesaleAndRetail.xlsx
Storybrooke Cafe,Full-Service Restaurants,8381 N Main St,Dayton,OH,45415.0,16.96,39.846413,-84.267701,RestaurantsAndFoodServices.xlsx
"Subs On W3rd, LLC",Limited-Service Restaurants,116 W Fairview Ave,Dayton,OH,45405.0,10.5,39.784615,-84.213838,RestaurantsAndFoodServices.xlsx
"Bimbo Bakeries Usa, Inc",Other Grocery and Related Products Merchant Wholesalers,2501 Needmore Rd,Dayton,OH,45414.0,0.0,39.820206,-84.18664,FoodWholesaleAndRetail.xlsx
"Bills Donut Shop, Inc.",Baked Goods Stores,321 Alston Woods CT,Dayton,OH,45459.0,2.32,39.637196,-84.148442,FoodWholesaleAndRetail.xlsx
Stir Thai,Full-Service Restaurants,6118 Chambersburg Rd,Dayton,OH,45424.0,18.656,39.845918,-84.118548,RestaurantsAndFoodServices.xlsx
Subway,Limited-Service Restaurants,4481 Elmshaven Dr,Dayton,OH,45424.0,3.962277,39.816493,-84.106001,RestaurantsAndFoodServices.xlsx
Subway Restaurant,Limited-Service Restaurants,2137 Needmore Rd,Dayton,OH,45414.0,15.0,39.819986,-84.194722,RestaurantsAndFoodServices.xlsx
Subway Restaurant,Limited-Service Restaurants,6244 Wilmington Pike,Dayton,OH,45459.0,18.0,39.647531,-84.108163,RestaurantsAndFoodServices.xlsx
Bhuvaneshwari Food Mart LLC,Supermarkets and Other Grocery (except Convenience) Stores,1820 Wyoming St,Dayton,OH,45410.0,9.28,39.746324,-84.155678,FoodWholesaleAndRetail.xlsx
Subway Sandwiches,Limited-Service Restaurants,5652 Springboro Pike,Dayton,OH,45449.0,13.5,39.676869,-84.22023,RestaurantsAndFoodServices.xlsx
Subway Sandwiches,Limited-Service Restaurants,8800 Kingsridge Dr,Dayton,OH,45458.0,7.5,39.630978,-84.211596,RestaurantsAndFoodServices.xlsx
Super Subby's Inc,Limited-Service Restaurants,8924 N Dixie Dr,Dayton,OH,45414.0,54.7357635,39.860978,-84.198672,RestaurantsAndFoodServices.xlsx
Subway,Limited-Service Restaurants,4601 Old Troy Pike,Dayton,OH,45424.0,7.4559045,39.822245,-84.145671,RestaurantsAndFoodServices.xlsx
Steak N Shake Inc.,Full-Service Restaurants,8311 Old Troy Pike,Dayton,OH,45424.0,67.84,39.872452,-84.138167,RestaurantsAndFoodServices.xlsx
Stacker Subs & Grub,Limited-Service Restaurants,2615 S Smithville Rd,Dayton,OH,45420.0,10.5,39.72921,-84.141655,RestaurantsAndFoodServices.xlsx
Sporty's Taphouse and Grill Inc,Full-Service Restaurants,3201 W Siebenthaler Ave,Dayton,OH,45406.0,20.352,39.799295,-84.239427,RestaurantsAndFoodServices.xlsx
Spinoz'a Gormet Pizza,Limited-Service Restaurants,2727 Frfld Cmns Blvd E2,Dayton,OH,45431.0,22.5,39.767194,-84.155355,RestaurantsAndFoodServices.xlsx
Sonic Drive-In,Limited-Service Restaurants,801 E Dixie Dr,Dayton,OH,45449.0,36.0,39.676813,-84.239961,RestaurantsAndFoodServices.xlsx
